mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
3,0.647,0.803,0.389,0.137,4.06E-06,0.0952,0.55
3,0.559,0.62,0.0516,0.706,0,0.229,0.711
3,0.898,0.676,0.187,0.14,0,0.101,0.742
3,0.731,0.675,0.0434,0.00473,0,0.141,0.298
3,0.831,0.427,0.106,0.0531,0,0.307,0.216
3,0.728,0.484,0.146,0.374,0,0.123,0.692
3,0.855,0.488,0.208,0.506,0,0.347,0.619
3,0.732,0.678,0.0886,0.0867,2.41E-05,0.112,0.196
3,0.749,0.671,0.0599,0.68,0,0.167,0.756
3,0.799,0.653,0.037,0.019,0,0.0935,0.236
