mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
4,0.621,0.82,0.0367,0.332,0,0.104,0.452
4,0.773,0.758,0.0381,0.0422,0,0.305,0.925
4,0.706,0.8,0.0399,0.00584,0,0.0822,0.629
4,0.591,0.764,0.0483,0.0383,0,0.103,0.478
4,0.81,0.793,0.0403,0.0378,1.77E-06,0.072,0.863
4,0.532,0.831,0.0344,0.0797,0.00054,0.276,0.424
4,0.733,0.827,0.033,0.394,0.0252,0.136,0.722
4,0.718,0.88,0.107,0.214,3.97E-06,0.126,0.56
4,0.837,0.498,0.0486,0.508,0.00118,0.111,0.104
4,0.778,0.566,0.0311,0.672,0.000197,0.0698,0.479
4,0.729,0.836,0.0462,0.156,3.27E-05,0.336,0.288
4,0.677,0.696,0.119,0.321,0,0.42,0.464
4,0.619,0.8,0.031,0.16,0.015,0.28,0.273
4,0.773,0.819,0.118,0.428,0,0.0679,0.585
4,0.733,0.76,0.0346,0.656,2.14E-05,0.133,0.574
4,0.671,0.636,0.103,0.515,0.000411,0.172,0.262
4,0.644,0.632,0.0376,0.162,0.342,0.132,0.219
4,0.763,0.608,0.035,0.262,2.50E-05,0.12,0.393
4,0.769,0.841,0.0423,0.114,0,0.229,0.712
4,0.717,0.455,0.0276,0.0846,0,0.11,0.389
4,0.688,0.477,0.036,0.594,0,0.115,0.257
4,0.674,0.657,0.0391,0.234,3.47E-05,0.112,0.264
4,0.545,0.675,0.0279,0.00617,0.00197,0.209,0.162
4,0.429,0.661,0.0281,0.00239,0.000121,0.234,0.285
4,0.571,0.761,0.0261,0.0708,0,0.331,0.681
4,0.791,0.807,0.0604,0.00817,0.000437,0.0689,0.847
4,0.501,0.405,0.0319,0.751,0,0.105,0.446
4,0.855,0.678,0.189,0.0569,3.69E-05,0.412,0.852
4,0.654,0.704,0.0351,0.00517,0.0565,0.0714,0.799
4,0.599,0.448,0.0232,0.163,0,0.106,0.168
4,0.652,0.557,0.0318,0.74,0,0.124,0.483
4,0.475,0.124,0.0444,0.926,0,0.0972,0.19
4,0.589,0.311,0.0397,0.909,0,0.145,0.438
4,0.541,0.153,0.0303,0.882,1.66E-06,0.16,0.359
4,0.422,0.302,0.0372,0.629,7.83E-05,0.104,0.123
4,0.593,0.352,0.0284,0.695,2.22E-05,0.3,0.226
4,0.604,0.366,0.0282,0.578,0,0.133,0.13
4,0.358,0.557,0.059,0.695,0,0.0902,0.494
4,0.528,0.0688,0.0517,0.917,0,0.124,0.425
4,0.633,0.55,0.0924,0.649,0.000363,0.147,0.333
4,0.736,0.308,0.0677,0.946,0,0.186,0.361
4,0.681,0.292,0.0483,0.743,0,0.0974,0.162
4,0.519,0.625,0.0482,0.349,0,0.121,0.21
4,0.534,0.462,0.0326,0.573,5.59E-06,0.0974,0.519
4,0.656,0.436,0.0744,0.845,0,0.221,0.196
4,0.592,0.321,0.0373,0.588,0,0.156,0.231
4,0.382,0.401,0.0851,0.286,0,0.0851,0.145
4,0.512,0.695,0.0271,0.0265,0.00815,0.146,0.351
4,0.684,0.512,0.0525,0.544,0,0.097,0.466
4,0.311,0.485,0.0365,0.701,0,0.0726,0.225
4,0.672,0.52,0.0353,0.859,0,0.115,0.37
4,0.44,0.369,0.0423,0.385,0,0.145,0.531
4,0.716,0.212,0.047,0.898,0.767,0.109,0.395
4,0.374,0.0861,0.0294,0.964,0.0335,0.0892,0.143
4,0.795,0.178,0.0574,0.607,0,0.623,0.608
4,0.564,0.412,0.0274,0.554,0,0.151,0.29
4,0.609,0.582,0.0316,0.71,0.833,0.363,0.21
4,0.543,0.333,0.0272,0.824,3.87E-06,0.168,0.261
4,0.667,0.494,0.0283,0.613,0.00248,0.0589,0.411
4,0.704,0.545,0.0323,0.536,0,0.125,0.589
4,0.444,0.301,0.0334,0.886,0,0.183,0.35
4,0.847,0.33,0.218,0.845,0.202,0.31,0.56
4,0.522,0.128,0.0357,0.894,0.026,0.0941,0.124
4,0.637,0.55,0.0525,0.165,2.54E-06,0.123,0.5
4,0.703,0.179,0.0366,0.949,0,0.102,0.346
4,0.65,0.156,0.0338,0.742,0,0.126,0.243
4,0.352,0.266,0.0341,0.865,0,0.197,0.122
4,0.446,0.288,0.0323,0.874,0,0.0847,0.417
4,0.619,0.625,0.0322,0.128,2.79E-06,0.0886,0.0502
4,0.544,0.307,0.0334,0.791,0,0.11,0.335
4,0.53,0.404,0.0264,0.905,0.000198,0.0722,0.262
4,0.553,0.127,0.0351,0.951,0.896,0.105,0.135
4,0.507,0.306,0.0583,0.94,0.631,0.11,0.124
