mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
1,0.733,0.436,0.08,0.258,0.000573,0.157,0.0976
1,0.721,0.769,0.105,0.0922,0,0.0817,0.915
1,0.796,0.798,0.0317,0.034,4.19E-05,0.0952,0.942
1,0.7,0.613,0.0408,0.385,0,0.0887,0.42
1,0.745,0.729,0.221,0.0558,0,0.0589,0.629
1,0.685,0.886,0.034,0.028,0,0.481,0.615
1,0.584,0.576,0.0519,0.507,0,0.212,0.432
1,0.636,0.888,0.0945,0.00162,0.000216,0.147,0.25
1,0.643,0.585,0.0369,0.225,0,0.0927,0.188
1,0.667,0.75,0.0906,0.0746,0.000198,0.197,0.486
1,0.671,0.845,0.048,0.0207,0,0.329,0.775
1,0.729,0.763,0.0363,0.033,1.00E-06,0.192,0.864
1,0.712,0.603,0.0262,0.186,0,0.115,0.67
1,0.624,0.684,0.0513,0.0336,0,0.0771,0.75
1,0.59,0.867,0.0649,0.00721,0,0.355,0.758
1,0.701,0.875,0.0757,0.0262,7.32E-06,0.137,0.84
1,0.698,0.895,0.0628,0.172,1.45E-05,0.409,0.838
1,0.668,0.802,0.0917,0.0273,0,0.163,0.769
1,0.552,0.873,0.0464,0.00137,0.000273,0.0966,0.62
1,0.695,0.656,0.0489,0.057,0,0.267,0.346
1,0.935,0.81,0.117,0.0401,0,0.349,0.787
1,0.707,0.689,0.0387,0.0255,0,0.383,0.41
1,0.703,0.68,0.0431,0.0171,0,0.178,0.536
1,0.769,0.858,0.15,0.117,0.0186,0.157,0.86
1,0.628,0.476,0.0352,0.417,0,0.121,0.336
1,0.675,0.793,0.157,0.108,0,0.103,0.233
1,0.812,0.706,0.0709,0.0412,0,0.107,0.621
1,0.544,0.572,0.0319,0.118,0,0.234,0.52
1,0.747,0.802,0.0346,0.0117,0.0102,0.275,0.552
